,Date_Released,Publisher,Superhero_Name,Movie_Title,Rating,IMDB_Votes,Box_Office_Sales,Gender,Eye color,Race,Hair color,Height,Skin color,Alignment,Weight
0,2008.0,DC,Batman,The Dark Knight,9.0/10,"2,029,721","$533,316,061",Male,blue,Human,black,188.0,-,good,95.0
1,2008.0,DC,Punisher,Punisher: War Zone,6.0/10,"56,730","$7,948,159",,,,,,,,
2,2008.0,Marvel,Iron Man,Iron Man,7.9/10,"842,429","$318,298,180",Male,blue,Human,Black,198.0,-,good,191.0
3,2008.0,Marvel,The Incredible Hulk,The Incredible Hulk,6.8/10,"388,957","$134,518,390",,,,,,,,
4,2009.0,Marvel,Wolverine,X-Men Origins: Wolverine,6.6/10,"429,641","$179,737,340",Male,blue,Mutant,Black,160.0,-,good,135.0
5,2010.0,Marvel,Iron Man,Iron Man 2,7.0/10,"642,092","$312,057,433",Male,blue,Human,Black,198.0,-,good,191.0
6,2011.0,Marvel,Ghost Rider,Spirit of Vengeance,,,,Male,red,Demon,No Hair,188.0,-,good,99.0
7,2011.0,DC,Green Lantern,Green Lantern,5.5/10,"250,387","$116,600,000",,,,,,,,
8,2011.0,Marvel,Thor,Thor,7.0/10,"661,810","$181,015,141",Male,blue,Asgardian,Blond,198.0,-,good,288.0
9,2011.0,Marvel,Captain America,Captain America: The First Avenger,6.9/10,"641,472","$176,636,816",Male,blue,Human,blond,188.0,-,good,108.0
10,2012.0,DC,Batman,The Dark Knight Rises,8.4/10,"1,366,558","$448,130,642",Male,blue,Human,black,188.0,-,good,95.0
11,2012.0,Marvel,Spider-Man,The Amazing Spider-Man,7.0/10,"520,000","$262,030,663",Male,hazel,Human,Brown,178.0,-,good,74.0
12,2013.0,Marvel,Iron Man,Iron Man 3,7.2/10,"672,550","$408,992,272",Male,blue,Human,Black,198.0,-,good,191.0
13,2013.0,Marvel,Thor,Thor: The Dark World,7.0/10,"526,911","$206,360,018",Male,blue,Asgardian,Blond,198.0,-,good,288.0
14,2013.0,Marvel,Wolverine,The Wolverine,6.7/10,"395,575","$132,550,960",Male,blue,Mutant,Black,160.0,-,good,135.0
15,2014.0,DC,Superman,Man of Steel,7.1/10,"639,837","$291,021,565",Male,blue,Kryptonian,Black,191.0,-,good,101.0
16,2014.0,Marvel,Spider-Man,The Amazing Spider-Man 2,6.6/10,"382,051","$183,277,573",Male,hazel,Human,Brown,178.0,-,good,74.0
17,2014.0,Marvel,Captain America,Captain America: The Winter Soldier,7.8/10,"646,011","$228,636,083",Male,blue,Human,blond,188.0,-,good,108.0
18,2015.0,Marvel,Ant-Man,Ant-Man,7.3/10,"482,910","$138,002,223",Male,blue,Human,Blond,211.0,-,good,122.0
19,2016.0,Marvel,Deadpool ,Deadpool,8.0/10,"802,733","$328,674,489",,,,,,,,
20,2016.0,Marvel,Doctor Strange,Doctor Strange,7.5/10,"485,846","$232,630,718",Male,grey,Human,Black,188.0,-,good,81.0
21,2016.0,Marvel,Wolverine,Logan,8.1/10,"545,270","$226,276,809",Male,blue,Mutant,Black,160.0,-,good,135.0
22,2017.0,Marvel,Spider-Man,Spider-Man: Homecoming,7.5/10,"398,278","$334,166,825",Male,hazel,Human,Brown,178.0,-,good,74.0
23,2017.0,DC,Wonder Woman,Wonder Woman,7.5/10,"472,212","$412,400,625",Female,blue,Amazon,Black,183.0,-,good,74.0
24,2018.0,Marvel,Thor,Thor: Ragnarok,7.9/10,"439,344","$314,971,245",Male,blue,Asgardian,Blond,198.0,-,good,288.0
25,2018.0,Marvel,Black Panther,Black Panther,7.3/10,"486,841","$501,105,037",Male,brown,Human,Black,183.0,-,good,90.0
26,2018.0,Marvel,Ant-Man,Ant-Man and the Wasp,7.1/10,"204,018",,Male,blue,Human,Blond,211.0,-,good,122.0
27,2018.0,DC,Aquaman,Aquaman,7.2/10,"208,461",,Male,blue,Atlantean,Blond,185.0,-,good,146.0
28,2018.0,Marvel,Deadpool ,Deadpool 2,7.8/10,"359,880",,,,,,,,,
29,2018.0,Marvel,Venom,Venom,6.8/10,"245,745",,Male,blue,Symbiote,Strawberry Blond,191.0,-,bad,117.0
30,2019.0,Marvel,Captain Marvel,Captain Marvel,6.9/10,"80,858",,Female,blue,Human-Kree,Blond,180.0,-,good,74.0
31,,,,Ghost Rider: Spirit of Vengeance,4.3/10,"102,335","$51,774,002",,,,,,,,
